Region ,Country,"City, Region",Description,Date (M.DD.Y),Link,Mention or use of false news measure (Y/N),Detained (Y/N),Arrested (Y/N) ,Imprisoned (Y/N) ,Access Denied (Y/N),Chilling Statement (Y/N),Attacked (Y/N),Charged (Y/N) ,Online Harassment (Y/N),Threatened (Y/N),Death (Y/N),Surveillance,Criminalization: type of new or amended law (please specify),Disinformation or propaganda (Y/N)
North America,US,,"Discusses the results of a survey that asked Americans to rate the performance of the media's coverage of coronavirus. General findings of the survey: a) ""Americans give the news media fairly high marks for their coverage of COVID-19, though most think their reporting has at least somewhat exaggerated the risks""; b) ""About half the public (48%) say they’ve been exposed to at least some made-up news and information related to the virus""; and, c) ""substantial portions [of survey respondents] express belief in claims that are in fact false"" (e.g., 29% think it was created in a lab).",3.18.2020,https://www.journalism.org/2020/03/18/americans-immersed-in-covid-19-news-most-think-media-are-doing-fairly-well-covering-it/,,,,,,,,,,,,,,Y
CSA,Venezuela,,"Socorro has been target of coordinated state trolling. Includes a Vice-Minister sending Socorro a tweet (https://twitter.com/planwac/status/1236401422477950979?s=20) from his official account. She sent Ana Cristina all of the screen shots of the tweets. She has been a strong critic of the government, and has had her Twitter account hacked in the past.",3.0.2020,https://twitter.com/MilagrosSocorro/status/1235951748478636033?s=20,,,,,,Y,,,Y,,,,,
CSA,Venezuela,,"Journalist Gregoria Diaz received insults and threats through Twitter, Instagram and WhatsApp after reporting via Twitter of a possible case of Coronavirus of a citizen from China, in the city of Maracay, on February 21. The mayor herself retweeted the campaign on social media to discredit Díaz. She has also been harassed by local officials since posting the tweet.",3.0.2020,https://twitter.com/ipysvenezuela/status/1231322551512653824?s=20,,,,,,,,,,,,,,
CSA,Venezuela,,"Jesús Enrique Torres and Jesus Manuel Castillo were detained by police on March 13.Castillo and Torres appeared before a judge in Los Teques on March 15, when they were charged with “crimes against the state” and released, according to Carlos Torres, the father of Jesús Torres, who spoke to Espacio Público but did not cite any specific laws the journalists were alleged to have broken. The journalists are required to register their whereabouts with authorities once a week as their legal case proceeds, Murolo said.",3.13.2020,https://cpj.org/2020/03/venezuelan-authorities-arrest-threaten-journalists.php,,Y,,,,,,Y,,,,,,
CSA,Venezuela ,,Melquiades Avila was threatened multiple times and is now in hiding.,3.0.2020,https://cpj.org/2020/03/venezuelan-authorities-arrest-threaten-journalists.php,,,,,,,,,,Y,,,,
CSA,Dominican Republic ,Santo Domingo,"José Benítez (+cameraman) Police detained them for allegedly violating curfew, though press workers are excluded. Relased later that same day.",3.23.2020,https://elnuevodiario.com.do/denuncian-pn-viola-decreto-presidencial-al-apresar-periodista-y-camarografo-en-toque-de-queda/,,Y,,N,,,,N,,,,,,
CSA,Honduras,Tegucigalpa,Police hit Paola Cobo + other journalists documenting the moment when police are detaining invidividuals for failing to comply with curfew imposed due to Coronavirus,3.23.2020,http://www.clibrehonduras.com/index.php/portada-alertas/1130-policia-nacional-agrede-a-periodistas-en-tegucigalpa,,,,,,,Y,,,,,,,
CSA,El Salvador ,San Salvador ,"Two soldiers and a security guard at the CIFCO convention center stopped a TV journalist from taking photos outside the center, which is being converted to an emergency hospital for COVID-19 patients. Unnamed journalist and unidentified outlet",3.23.2020,http://apes.org.sv/alertas/soldados-obligan-a-periodista-a-borrar-material-informativo/,,,,,,,,,,,,,,
CSA,Venezuela ,La Guaira,"Beatriz Rodriguez. Police take from her home to the prosecutor's office to interrogate her on a report of a case that tested positive for Coronavirus published in the La Verdad daily, where she is the Editor. She is interrogated again on the 25. She is being pressured to reveal sources.",3.24-25.2020,https://twitter.com/sntpvenezuela/status/1242836433372667908?s=20,,,,,,,,,,,,,,
CSA,Venezuela ,Caracas ,"Rosalí Hernández, Caraota Digital. Special forces agents FAES detain her for 40 min and force her to delete the videos she had recorded showing the cleaning/ sterilization of streets ordered by the government to fight the pandemic. ",3.25.2020,https://twitter.com/sntpvenezuela/status/1242499041122017280?s=20,,,,,,,,,,,,,,
CSA,Venezuela ,Caracas ,"Yarnaldo Tovar, 360 Grados INternacional. Detained by the national police outisde a hospital (Hopsital Pereférico de Coche), Caracas, covering coronavirus. Released several hours later.",3.25.2020,https://twitter.com/espaciopublico/status/1242910642283122689?s=20,,Y,,,,,,,,,,,,
CSA ,Dominican Republic ,Santiago ,"Miguel Eduardo Taveras deatined and handcuffed by police for alleged breach of curfew, though press is exempted.",3.27.2020,https://www.instagram.com/p/B-SOktFjZgv/?igshid=pvuc2s1ejeuy,,Y,,,,,,,,,,,,
CSA,Peru,Piura,"Ralph Zapata of OjoPublico detained inside his home by 10 policemen, taken to the police station.",3.28.2020,https://ipys.org/libertad-de-expresion/alertas/peru-policia-detiene-ilegalmente-a-periodista,,Y,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Africa,Nigeria,"Wuse neighborhood, Abuja",Five journalists granted parloe after spreading disinformation relating to coronavirus,3.02.2020,https://www.legit.ng/1298893-coronavirus-court-grants-bail-5-journalists-arrested-abuja.html,Y,,Y,,,,,,,,,,,Y
Africa,Niger,,"Kaka Touda Mamane Goni, detained. dissemination of data likely to disturb public order.",3.05.2020,https://twitter.com/CPJAfrica/status/1238489613725044736,Y,Y,,,,,,,,,,,,
Africa,Kenya,,Fake news. Kenya arrests 23-year old aspiring blogger and influencer for peddling fake news. Unclear if he was actually pushing false narratives-- need to follow up w Africa.,,https://www.africanews.com/2020/03/16/media-watch-western-ethiopia-internet-cut-sudan-bans-pro-bashir-press/,Y,,Y,,,,,,,,,,,?
Africa,South Africa,,"""Just in that fake news/ disinformation about #COVID19 becomes a criminal offence in South Africa."" Under the Disaster Management Act, section 11(4)1/: ""Any person who publishes any statement, through any medium, including social media, with the intention to deceive any other person about— (a) COVID-19; (b) COVID-19 infection status of any person; or (c) any measure taken by the Government to address COVID-19, commits an offence.""",3.18.2020,https://twitter.com/Dariomilo/status/1240382342881042434,Y,,,,,,,,,,,,Disaster Management Act,
Africa,Kenya,,Journalist Robert Alai charged with spreading false informatmion relating to coronavirus pandemic,3.23.2020,https://www.nation.co.ke/news/Alai-faces-court-over-Covid-19-post/1056-5500884-cktom5/index.html,Y,,,,,,,Y,,,,,,
Africa,Kenya,,Blogger Cyprian Nyakundi arrested by police over post made about coronavirus on social media,3.25.2020,https://www.standardmedia.co.ke/article/2001365603/blogger-cyprian-nyakundi-arrested-over-covid-19-post,,,Y,,,,,,,,,,,
Africa,Nigeria,,Members of church attack journalists who were monitoring restrictions on movement relating to coronavirus,3.22.2020,,,,,,,,Y,,,,,,,
Africa,DRC,,"TV reporter Tholi Totali Glody was run down by police in Likasi. Glody works for one of Likasi's leading TV stations, Alfajari TV, whose programme director told RSF that, after explaining to two policemen that he was covering respect for the lockdown, Glody was chased by the police and knocked off the motorcycle, breaking a leg and sustaining injuries to his face and an arm.",3.24.2020,https://allafrica.com/stories/202003260704.html,,,,,,,Y,,,,,,,
Africa ,Tanzania,,"Not mandate but worrying. Two people (Husband and wife I think), Boniface Elias Mwita and Rosemary Elias Mwita, were arrested in Dar es Salaam and are now facing charges of spreading false news about Coronavirus. According to a post on Jamii Forums, while riding in a public transport minibus (dala dala) from Tabata to Muhibili Hospital in Dar es Salaam, the two were heard by fellow passengers claiming that Coronavirus is a hoax, and alleged that the reason schools were closed is because the govt does not have money to feed students in school, and that the government just wants foreign aid. The fellow passengers in the dala dala, after listening to the “fake news”, ordered the driver to drive to a police station, where the two Mwitas were arrested. Investigations into the case are over, and the file has been submitted to prosecutors.",3.20.2020,Jamii Forums,Y,,Y,,,,,,,,,,,
Africa,Nigeria ,"Chuka, Meru County",David Njagi Freelance,3.23.2020,Muthoki Conversation on March 24 with Winnie Kamau (+721754349) of the Kenya Freelancers Association. ,,,,,,,,,,,,,,
Africa ,Nigeria ,Abuja,Outlets denied access to Aso Rock. over 80 journalists,3.24.2020,https://www.dailytrust.com.ng/over-80-journalists-barred-from-aso-rock.html,,,,,,,,,,,,,,
Africa,Ethiopia,Tigray Region," Yayesew Shimelis, a journalist with the state-owned Tigray TV who also contributes to a column to the Feteh Magazine and runs his own YouTube channel was arrested today on allegations of false news in connection to COVID19. According to tweets by @befeqe and private conversation between CPJ and two other sources, he was arrested in connection to a video posted yesterday in which he claimed that religious leaders in Ethiopia have been ordered to prepare 200,000 graves for expected COVID19 deaths. Earlier today, before Yayesew’s arrest, the ruling party in the Tigray bureau of the ruling prosperity party is said to have issued a press statement today calling for legal measures against those who spread false news and cause panic, and specifically cited Yayesew. They also called out another journalist by name, Tigray TV’s Medhin Gebreselassie, who is said to have claimed that 300,000 people would die in the Tigray region from the coronavirus. Yayesew apologise for the video, which has been taken down already, in a tweet today, according to @befeqe. I suggest for now we just retweet Befekadu. Our advocacy ask needs to be nuanced and I want to listen to the video before I come up with it.",,https://twitter.com/befeqe/status/1243560758191034373?s=20,Y,,,,,,,,,,,,,
Africa ,Kenya ,Mombasa,"An NTV Cameraperson, Peter Wainaina, was today afternoon assaulted by police in Mombasa Kenya who were trying to get people off the streets ahead of the 7pm curfew. In the video shared by NTV Kenya on its handle, Wainaina can be heard saying: “its not 6PM yet”. The police officer tells him, “I have forgiven you, you’re like my brother”, says something about throwing stones and claims that they can’t wait for 6PM. But even if it was after curfew, the government of Kenya has declared media( licensed broadcasters and media houses) part of the essential personnel that are allowed to be out and about at night.",3.27.2020,https://twitter.com/ntvkenya/status/1243535920265125890?s=20,,,,,,,Y,,,,,,,
Africa ,Nigeria ,Rivers State,"State governor, Wike sacks journalists including Vincent Ake for story on COVID-19",3.26.2020,https://whirlwindnews.com/news/16869-Enraged-Wike-sacks-state-newspaper-boss-for-breaking-Rivers-COVID-19-story-,,,,,,,,,,,,,,
Africa,Nigeria ,Imo State,"Angela Nkwo Akpolu manhandled, phone seized for snapping quarantine centers ",3.28.2020,https://www.thenigerianvoice.com/news/286515/mra-condemns-attacks-on-journalists-covering-covid-19-calls.html,,,,,,,,,,,,,,
Africa ,Nigeria ,,Restricted movement: Journalists need ID cards to move around during lockdown,3.30.2020,https://www.premiumtimesng.com/news/more-news/384970-coronavirus-journalists-need-id-cards-to-move-around-during-lockdown-minister.html,,,,,,,,,,,,,,
Africa,Zimbabwe,,Regulation that criminalizes spreading falsehood on coronovirus subject to a 20 year jaril term or a hefty fine or both,3.27.2020,https://www.thestandard.co.zw/2020/03/29/20-years-jail-spreading-fake-coronavirus-news/,Y,,,,,,,,,,,,Regulation,
Africa ,Zimbabwe,Gweru,Kudzanai Musengi. Practicing as a journalist without vald accreditation while photographin lockdwon effects.  But Zim Media Commission in January authorized jorunalists to continue working using their 2029 accreditaiton until further notice. New fees and accresitiatoin notice only issue on  MArch 27,3.30.2020,,,,Y,,,,,,,,,,,
